,category,title,tags,age_rating,image,description,cas1517,vader_sentiment,representation
94,From the Archives,The Killing - Series 3: Episode 2,"BBC, iPlayer, TV, The Killing, Series 3: Episode 2",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09ds9w1.jpg,The police try to track down the kidnapper of Robert Zeuthens daughter Emilie.,0.646455,Very negative,3.0
112,From the Archives,Spooks - Series 7: Episode 7,"BBC, iPlayer, TV, Spooks, Series 7: Episode 7",15,https://ichef.bbci.co.uk/images/ic/1200x675/p085j75y.jpg,Harry is imprisoned and accused by MI5 of being the Russian mole.,0.64632,Very negative,3.0
150,Entertainment,Susan Calman's Happy Space - Series 1: Episode 3,"BBC, iPlayer, TV, Susan Calmans Happy Space, Series 1: Episode 3",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09chxyv.jpg,Susan Calman celebrates the unique things that bring people joy. With Jordan Young.,0.64032,Very positive,3.0
186,Comedy,Inside No. 9 - Series 6: 6. Last Night of the Proms,"BBC, iPlayer, TV, Inside No. 9, Series 6: 6. Last Night of the Proms",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09kskq0.jpg,Dawn and Mick host their annual Proms party. But not everyone has the same song sheet.,0.640305,Positive,3.0
168,Comedy,Limmy's Show - Series 1: Episode 4,"BBC, iPlayer, TV, Limmys Show, Series 1: Episode 4",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08vt0tg.jpg,Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room.,0.6402749999999999,Neutral,1.0
189,Comedy,The Catherine Tate Show - Series 1: Episode 3,"BBC, iPlayer, TV, The Catherine Tate Show, Series 1: Episode 3",15,https://ichef.bbci.co.uk/images/ic/1200x675/p02jppv1.jpg,"Meet the Doncaster Spinners ageing majorette, the manipulative nan and an enigmatic cop.",0.64017,Neutral,3.0
32,Films,The Keeper,"BBC, iPlayer, TV, The Keeper",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09tvgks.jpg,"At the end of WWII, Bert Trautmann stays in the UK for love and a football career.",0.6399,Positive,1.0
33,Films,20th Century Women,"BBC, iPlayer, TV, 20th Century Women",15,https://ichef.bbci.co.uk/images/ic/1200x675/p07lbssp.jpg,A single mother persuades a friend to give her son some lessons in living life.,0.6340214285714285,Very positive,3.0
68,Documentaries,Last Man Standing: Suge Knight and the Murders of Biggie and Tupac,"BBC, iPlayer, TV, Last Man Standing: Suge Knight and the Murders of Biggie and Tupac",18,https://ichef.bbci.co.uk/images/ic/1200x675/p09w3rks.jpg,How LAs street gang culture came to dominate Death Row Records business workings.,0.6295759459459459,Very negative,2.0
105,From the Archives,Louis Theroux - Selling Sex,"BBC, iPlayer, TV, Louis Theroux, Selling Sex",18,https://ichef.bbci.co.uk/images/ic/1200x675/p07znrwq.jpg,Louis Theroux meets the women legally providing sexual services to paying clients.,0.6222529039812646,Neutral,1.0
141,Entertainment,Top Gear - Series 25: Episode 4,"BBC, iPlayer, TV, Top Gear, Series 25: Episode 4",15,https://ichef.bbci.co.uk/images/ic/1200x675/p0613fxk.jpg,"Matt LeBlanc tests the worlds fastest accelerating car, with a little help from NASA.",0.618305,Very positive,1.0
161,Entertainment,Top Gear - Series 17: Episode 6,"BBC, iPlayer, TV, Top Gear, Series 17: Episode 6",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09fzy3t.jpg,The Lamborghini Aventador flexes its muscles on the track.,0.618305,Negative,1.0
146,Entertainment,Top Gear - Best of Series 27 and 28: Episode 5,"BBC, iPlayer, TV, Top Gear, Best of Series 27 and 28: Episode 5",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08qb66d.jpg,"Freddie, Chris and Paddy build their own electric sports cars.",0.618305,Positive,1.0
140,Entertainment,Top Gear - Series 4: Episode 8,"BBC, iPlayer, TV, Top Gear, Series 4: Episode 8",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09t2d3c.jpg,"The trio test a Ford GT40, Maserati Quattroporte and Toyota Prius. With Martin Clunes.",0.618275,Negative,1.0
149,Entertainment,Top Gear - Series 23: Episode 6,"BBC, iPlayer, TV, Top Gear, Series 23: Episode 6",15,https://ichef.bbci.co.uk/images/ic/1200x675/p0400b7l.jpg,Matt LeBlanc gets his hands on the new Porsche 911 R.,0.618035,Neutral,1.0
159,Entertainment,Top Gear - Series 24: Episode 7,"BBC, iPlayer, TV, Top Gear, Series 24: Episode 7",15,https://ichef.bbci.co.uk/images/ic/1200x675/p05y9989.jpg,Matt drives an eight-wheeled rescue vehicle. Jamiroquai frontman Jay Kay is in the studio.,0.617255,Neutral,1.0
