,category,title,tags,age_rating,image,description,cas1517,vader_sentiment,representation
237,Science & Nature,Greta Thunberg: A Year to Change the World - Series 1: Episode 2,"BBC, iPlayer, TV, Greta Thunberg: A Year to Change the World, Series 1: Episode 2",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09cysgd.jpg,"Greta sets off to the annual World Economic Forum in Davos, Switzerland.",0.8484099999999999,Neutral,1.0
71,Documentaries,The Devil's Music - Series 2: Episode 4,"BBC, iPlayer, TV, The Devils Music, Series 2: Episode 4",U,https://ichef.bbci.co.uk/images/ic/1200x675/p01m7rld.jpg,Alexis Korner looks at contemporary Chicago Blues music. (1979),0.8484099999999999,Neutral,1.0
135,Sports,Snooker: Welsh Open - 2022: 8. Day Four - Part 1,"BBC, iPlayer, TV, Snooker: Welsh Open, 2022: 8. Day Four - Part 1",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bsjnzq.jpg,Ian Hunt introduces live action from the ICC Wales as the third round draws to a close.,0.848395,Neutral,
5,CBBC,The Next Step - Series 4: 18. Your Time Is Gonna Come,"BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.",0.848395,Neutral,3.0
122,Sports,NIFL Premiership Highlights - 2021/2022: 03/01/2022,"BBC, iPlayer, TV, NIFL Premiership Highlights, 2021/2022: 03/01/2022",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bgc2tg.jpg,Nicola McCarthy presents highlights from the Irish Premiership.,0.848395,Neutral,
139,Sports,NIFL Premiership Highlights - 2021/2022: 28/12/2021,"BBC, iPlayer, TV, NIFL Premiership Highlights, 2021/2022: 28/12/2021",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bgc2lm.jpg,Nicola McCarthy presents highlights from the Irish Premiership.,0.848395,Neutral,
119,Sports,Wheelchair Basketball - 2022: East London Phoenix v Loughborough Lightning,"BBC, iPlayer, TV, Wheelchair Basketball, 2022: East London Phoenix v Loughborough Lightning",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0brtn40.jpg,Unbeaten Loughborough Lightning go to East London Phoenix in the Womens Premier League.,0.8483799999999999,Neutral,
133,Sports,Irish League Football - Friday Night Football 2021/2022: Linfield v Crusaders,"BBC, iPlayer, TV, Irish League Football, Friday Night Football 2021/2022: Linfield v Crusaders",U,https://ichef.bbci.co.uk/images/ic/1200x675/p07ryf3n.jpg,Stephen Watson presents live Irish Premiership coverage of Linfield v Crusaders.,0.848365,Neutral,
73,Documentaries,A Perfect Planet - Series 1: 1. Volcano,"BBC, iPlayer, TV, A Perfect Planet, Series 1: 1. Volcano",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09240nc.jpg,"A look at how without volcanoes, there would be no life on Earth.",0.848365,Negative,
121,Sports,The FA Cup - 2021/22: Quarter-Final: Middlesbrough v Chelsea,"BBC, iPlayer, TV, The FA Cup, 2021/22: Quarter-Final: Middlesbrough v Chelsea",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvmlh4.jpg,Live coverage of the quarter-final match from the Riverside Stadium.,0.848365,Neutral,
134,Sports,Scrum V - Live: 2021/2022: Sharks v Scarlets,"BBC, iPlayer, TV, Scrum V, Live: 2021/2022: Sharks v Scarlets",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0btpf10.jpg,Catrin Heledd presents live URC coverage of Sharks v Scarlets from Kings Park Stadium.,0.848365,Neutral,
131,Sports,A View from the Terrace - Series 4: Episode 4,"BBC, iPlayer, TV, A View from the Terrace, Series 4: Episode 4",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09zrt0w.jpg,Shaughan is back as Judy Murray lines up for a brand new football concept.,0.8483499999999999,Neutral,
137,Sports,NIFL Premiership Highlights - 2021/2022: 13/09/2021,"BBC, iPlayer, TV, NIFL Premiership Highlights, 2021/2022: 13/09/2021",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09x7b75.jpg,Nicola McCarthy presents highlights from the Irish Premiership.,0.8483350000000001,Neutral,
66,Documentaries,Natural World - 2018-2019: 6. Humpback Whales: A Detective Story,"BBC, iPlayer, TV, Natural World, 2018-2019: 6. Humpback Whales: A Detective Story",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06zlc8r.jpg,Documentary about our relationship with whales and their future alongside us.,0.8483050000000001,Very negative,
126,Sports,The FA Cup - 2021/22: Quarter-Final: Southampton v Manchester City,"BBC, iPlayer, TV, The FA Cup, 2021/22: Quarter-Final: Southampton v Manchester City",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvmljk.jpg,Live coverage of the FA Cup quarter-final clash between Southampton and Manchester City.,0.84829,Neutral,
203,Signed,Gigglebiz - Series 4: Episode 23,"BBC, iPlayer, TV, Gigglebiz, Series 4: Episode 23",U,https://ichef.bbci.co.uk/images/ic/1200x675/p02kc9s5.jpg,Rapids Johnson enjoys an ice cream on his search for the Ice Cream Bear.,0.84826,Positive,1.0
117,Sports,The Women's Football Show - 2021/22: 13/03/2022,"BBC, iPlayer, TV, The Womens Football Show, 2021/22: 13/03/2022",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvbn51.jpg,Arsenal travel to Brighton & Hove Albion and Tottenham host Manchester City in the WSL.,0.84826,Positive,
124,Sports,Irish Cup - 2021: Semi-Final: Larne v Crusaders,"BBC, iPlayer, TV, Irish Cup, 2021: Semi-Final: Larne v Crusaders",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09jfmjk.jpg,Stephen Watson presents coverage of the Irish Cup semi-final between Larne and Crusaders.,0.8482149999999999,Neutral,
207,Signed,Hey Duggee - Top of the Pups: The A Cappella Song,"BBC, iPlayer, TV, Hey Duggee, Top of the Pups: The A Cappella Song",U,https://ichef.bbci.co.uk/images/ic/1200x675/p08hb7fy.jpg,The Singing Squirrels are joined by none other than Hot Cheap for an impromptu sing off!,0.848155,Positive,
190,Signed,Tree Fu Tom - Series 5: 18. Ranger Tom and Ginormous George - Signed,"BBC, iPlayer, TV, Tree Fu Tom, Series 5: 18. Ranger Tom and Ginormous George",U,https://ichef.bbci.co.uk/images/ic/1200x675/p07r2qp0.jpg,Rangers to the rescue - theres a huge fungus-chomping creature on the loose!,0.848155,Very positive,3.0
130,Sports,Centenary Shield - 2022: Republic of Ireland U18 Boys v Scotland U18 Boys,"BBC, iPlayer, TV, Centenary Shield, 2022: Republic of Ireland U18 Boys v Scotland U18 Boys",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0btnszf.jpg,Coverage of Republic of Ireland U18 Boys v Scotland U18 Boys in the 2022 Centenary Shield.,0.84799,Neutral,
120,Sports,Badminton - All England Open Championships 2022: Last 16,"BBC, iPlayer, TV, Badminton, All England Open Championships 2022: Last 16",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvgjs2.jpg,Coverage of the All England Open Badminton Championships last 16.,0.84796,Very positive,
7,CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg,Its villain report card day at Odd Squad.,0.847855,Very negative,3.0
136,Sports,Gold Rush: Our Race to Olympic Glory - Series 1: Episode 2,"BBC, iPlayer, TV, Gold Rush: Our Race to Olympic Glory, Series 1: Episode 2",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09n3t2z.jpg,"Team GB’s young athletes feel the pressure to win, as Britain bids to host the 2012 Games.",0.8477952459016393,Very positive,
19,CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,0.84766,Positive,
128,Sports,Badminton - All England Open Championships 2022: Round of 32,"BBC, iPlayer, TV, Badminton, All England Open Championships 2022: Round of 32",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvgjs2.jpg,Coverage of the All England Open Badminton Championships round of 32.,0.8475999999999999,Very positive,
199,Signed,"Go Jetters - Series 3: 8. Middle of the World City, Ecuador","BBC, iPlayer, TV, Go Jetters, Series 3: 8. Middle of the World City, Ecuador",U,https://ichef.bbci.co.uk/images/ic/1200x675/p07pvwc6.jpg,Someone pretends to be the Go Jetters and glitches a monument in Ecuador. Who could it be?,0.847405,Positive,3.0
