,category,title,tags,age_rating,image,description,cas1214,vader_sentiment
7,CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg,Its villain report card day at Odd Squad.,0.797995,Very negative
136,Sports,Gold Rush: Our Race to Olympic Glory - Series 1: Episode 2,"BBC, iPlayer, TV, Gold Rush: Our Race to Olympic Glory, Series 1: Episode 2",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09n3t2z.jpg,"Team GB’s young athletes feel the pressure to win, as Britain bids to host the 2012 Games.",0.7979153278688524,Very positive
19,CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,0.7977349999999999,Positive
128,Sports,Badminton - All England Open Championships 2022: Round of 32,"BBC, iPlayer, TV, Badminton, All England Open Championships 2022: Round of 32",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvgjs2.jpg,Coverage of the All England Open Badminton Championships round of 32.,0.797655,Very positive
199,Signed,"Go Jetters - Series 3: 8. Middle of the World City, Ecuador","BBC, iPlayer, TV, Go Jetters, Series 3: 8. Middle of the World City, Ecuador",U,https://ichef.bbci.co.uk/images/ic/1200x675/p07pvwc6.jpg,Someone pretends to be the Go Jetters and glitches a monument in Ecuador. Who could it be?,0.797395,Positive
211,Signed,Antiques Roadshow - Series 43: Windermere Jetty 2 - Signed,"BBC, iPlayer, TV, Antiques Roadshow, Series 43: Windermere Jetty 2",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09gxkdj.jpg,The Roadshow comes from the shores of Lake Windermere in the Lake District.,0.7967316666666666,Neutral
209,Signed,Bluey - Series 1: 9. Hotel - Signed,"BBC, iPlayer, TV, Bluey, Series 1: 9. Hotel",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09dr3rh.jpg,"Bluey and Bingo run a crazy hotel, with Dad as their put upon guest.",0.795735,Neutral
156,Entertainment,The British Academy Film Awards - 2022: 1. The Ceremony - Extended Version,"BBC, iPlayer, TV, The British Academy Film Awards, 2022: 1. The Ceremony - Extended Version",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0btnhf9.jpg,Rebel Wilson hosts the EE British Academy Film Awards from the Royal Albert Hall.,0.7946500000000001,Very positive
147,Entertainment,Strictly - It Takes Two - Series 19: Episode 53,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 53",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8ywgb.jpg,Janette Manrara chats to one of the remaining couples.,0.79463,Negative
154,Entertainment,Strictly - It Takes Two - Series 19: Episode 25,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 25",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b1j1mc.jpg,Rylan has more Strictly exclusives ahead of the weekend�s Halloween extravaganza. ,0.79463,Negative
16,CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",0.793495,Positive
213,Signed,Dani's House - Series 1: 13. House for Sale - Signed,"BBC, iPlayer, TV, Danis House, Series 1: 13. House for Sale",U,https://ichef.bbci.co.uk/images/ic/1200x675/p089jlnm.jpg,The friends discover to their horror that Danis house is up for sale.,0.7933895454545454,Negative
232,Science & Nature,Planet Earth II - 3. Jungles,"BBC, iPlayer, TV, Planet Earth II, 3. Jungles",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04gblmy.jpg,A look at the animals competing to survive in the rich habitats of the planets jungles.,0.79131,Very positive
226,Science & Nature,Blue Planet II - Series 1: 6. Coasts,"BBC, iPlayer, TV, Blue Planet II, Series 1: 6. Coasts",U,https://ichef.bbci.co.uk/images/ic/1200x675/p05pffv5.jpg,"Coasts are the most changeable of the ocean worlds, but they offer great riches.",0.79129,Very positive
219,Science & Nature,Planet Earth - 2. Mountains,"BBC, iPlayer, TV, Planet Earth, 2. Mountains",U,https://ichef.bbci.co.uk/images/ic/1200x675/p05ccrb2.jpg,"A look at mountains, from their origins at earths lowest places to the summit of Everest.",0.79129,Positive
217,Science & Nature,Serengeti II - Series 1: 5. Power,"BBC, iPlayer, TV, Serengeti II, Series 1: 5. Power",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09sjs44.jpg,Power is shifting among the families as their young are growing and new threats emerge.,0.79105,Negative
218,Science & Nature,Planet Earth II - 4. Deserts,"BBC, iPlayer, TV, Planet Earth II, 4. Deserts",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hbfgn.jpg,The incredible ways in which animals cope with living in the planets deserts.,0.7896233333333333,Neutral
53,Films,The Outlaw,"BBC, iPlayer, TV, The Outlaw",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09m5mdc.jpg,Unconventional western about the life of legendary outlaw Billy the Kid.,0.7595000000000001,Negative
78,Documentaries,Big Cats - Series 1: Episode 1,"BBC, iPlayer, TV, Big Cats, Series 1: Episode 1",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p08jjf8p.jpg,"Meet the worlds ultimate cats, remarkable members of an incredible animal family.",0.725875,Very positive
