category,title,tags,age_rating,image,synopsis_small,cas48
CBBC,The Next Step - Series 4: 18. Your Time Is Gonna Come,"BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.",0.6965600000000001
CBBC,Shaun the Sheep - Series 4: 6. The Smelly Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 4: 6. The Smelly Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p01rrbf9.jpg,"Shaun, Bitzer and the flock decide to give the farmer a wash.",0.69642
CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg,It's villain report card day at Odd Squad.,0.69584
CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",0.69454
CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,0.6939200000000001
CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg,The kids accidentally destroy a beloved family photo.,0.6912200000000001
