showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
12,CBBC,"The Next Step - Series 7: 20. Dance, Dance, Resurrection","BBC, iPlayer, TV, The Next Step, Series 7: 20. Dance, Dance, Resurrection",U,clean,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,3.0,22 mins,1310,5pm 15 Jul 2020,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,"A-Troupe reels from the news that they have lost their best dancer and turn to a familiar face to replace them. As Emily mulls over her enticing offer, Nick makes a counter offer, making it impossible for Emily to decide. Piper worries that Finn’s chronic lateness may spell trouble for A-Troupe's chances at success.",https://ichef.bbci.co.uk/images/ic/1200x675/p08jmwgf.jpg
13,CBBC,The Demon Headmaster - Series 1: 5. Be More Hazelbrook,"BBC, iPlayer, TV, The Demon Headmaster, Series 1: 5. Be More Hazelbrook",PG,mild threat,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,3.0,27 mins,1597,5pm 11 Nov 2019,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,"With the Headmaster away, the gang plan to replace him with someone who will free Hazelbrook - but their actions trigger unexpected consequences.","Lizzie is burdened by the secret of Ethan’s past, but should she tell him? While Lizzie struggles with her moral dilemma, the rest of the gang get excited at a huge opportunity - the Headmaster is leaving the school premises to tour the schools he intends to hoodwink into joining the Hazelbrook Academy chain. With the Headmaster away, the gang will play - but how?",https://ichef.bbci.co.uk/images/ic/1200x675/p07td626.jpg
14,CBBC,Operation Ouch! - Series 7: 4. Don’t Pick Your Scabs!,"BBC, iPlayer, TV, Operation Ouch!, Series 7: 4. Don’t Pick Your Scabs!",PG,"injury detail, rude humour, threat","Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.",3.0,28 mins,1667,16 Jan 2019,"Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – a navigation technique used by bats – is helping visually impaired patients.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – an amazing navigation technique used by bats to fly in the dark – is helping visually impaired patients. There’s a new body trick to make things look bigger, and it’s time to meet our first ever Ouch Award nominees. Meanwhile, in the emergency department, a broken leg requires surgery after a clash with a diving board and another patient has their finger stuck in a toy truck.",https://ichef.bbci.co.uk/images/ic/1200x675/p06y4822.jpg
15,CBBC,Horrible Histories - Series 9: 4. Precious Planet,"BBC, iPlayer, TV, Horrible Histories, Series 9: 4. Precious Planet",PG,mild injury detail,Charles Darwin hosts a look at how we’ve treated the planet throughout history. ,3.0,29 mins,1739,1 Nov 2021,Charles Darwin hosts a look at how we’ve treated the planet throughout history.,"Charles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!","Charles Darwin presents a special show, as Horrible Histories takes a timely look at our planet and how we’ve behaved towards it throughout history.We look at how we’ve not always treated the planet's resources with the utmost care, from the 19th-century gold rush, to Henry VIII enjoying a little too much deforestation to build his warships In The Gone Show, we meet a range of animals that have recently become extinct, and we see how mankind has tried to work with and shape the land, from the earliest guides to farming to the fabulous Gardens of Versailles In Historical Educating, head teacher Mrs Thomas has trouble with her geography supply teachers (a Greek philosopher and a Viking), who seem intent on telling their pupils that the Earth is not round. We reveal that plastic bags were originally invented to save the planet, and in Time Beefs, Judge Rinder settles a dispute between environmentalist Rachel Carson and the businessmen who tried to stop her.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b11pzp.jpg
16,CBBC,Tracy Beaker Returns - Series 3: 11. Jody Jackson,"BBC, iPlayer, TV, Tracy Beaker Returns, Series 3: 11. Jody Jackson",PG,contains mild emotional upset,A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,3.0,28 mins,1673,5pm 9 Mar 2012,A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,Drama set in a children's home. A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,"Drama set in a children's home. Carmen and Lily plan on manipulating Mike into letting Shadow stay at the Dumping Ground with Lily when she has respite care the following week. The girls arrive back at the DG to find Jody, a wild, screaming girl who is refusing to have a bath. Carmen is told Jody has to share with her. She and Lily go to Sapphire who refuses to move in with Elektra so that Jody can have her room, and Mike then tells Lily that now things are fine with her dad, she won't need respite care anymore anyway. Tired of her hyperactive antics, Elektra locks Jody in the toy cupboard. Jody breaks free, tips a plant over Elektra's head and disappears. Tracy and Mike find her at her wreck of a family home. Her mum and brothers, who have a criminal court case pending, have left. Jody is distraught. Mike and Tracy take her back to the Dumping Ground. An upset Lily tells Carmen how she needs a break from her dad, not the other way around. She makes Carmen promise not to say anything for fear of the authorities taking her away from her dad again.",https://ichef.bbci.co.uk/images/ic/1200x675/p01hcz5x.jpg
17,CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,clean,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",3.0,25 mins,1495,22 Nov 2021,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?","It’s the last day of school, and Miss Grayling is to sign away Malory Towers for ever! Will Darrell and Sally’s dramatic discovery save the school?",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg
18,CBBC,Pokémon: Diamond and Pearl - Series 12 - Galactic Battles: 15. Trials and Adulations!,"BBC, iPlayer, TV, Pokémon: Diamond and Pearl, Series 12 - Galactic Battles: 15. Trials and Adulations!",U,clean,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,,20 mins,1223,22 Oct 2021,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,"Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water.","Making their way through a giant forest on the way to Snowpoint City, Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water. Her other Pokémon can’t stand up to this menace, so she reluctantly calls out Mamoswine… who won’t listen to her commands.",https://ichef.bbci.co.uk/images/ic/1200x675/p09z7pbh.jpg
19,CBBC,Eve - Series 3: 4. Possession,"BBC, iPlayer, TV, Eve, Series 3: 4. Possession",PG,mild threat,Mary resorts to extreme measures to head off the threat of Cain and Price.,3.0,28 mins,1690,4:30pm 9 Nov 2016,Mary resorts to extreme measures to head off the threat of Cain and Price.,"Sci-fi drama series. Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve.","Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve. With KT missing, a distracted Nick and Katherine welcome back Zac, who is helping them answer questions about how Mary was able to duplicate his personality. Excited about Zac's return, Eve suggests he join the gang's picnic that afternoon. To everyone's surprise Zac brings his new girlfriend, and for the first time Eve experiences jealousy. Spotting KT hovering nearby puts Eve on high alert. Operating under Protocol Zero, KT is Mary's automaton, and is primed to execute her mother's plan.",https://ichef.bbci.co.uk/images/ic/1200x675/p04dy4gz.jpg
20,CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,clean,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,,7 mins,420,3:50pm 18 Nov 2016,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,"Animated Series. When Timmy sees a farmer giving one of the flock a hard time, he decides to show him what it's like to be a sheep.","When Timmy sees a particularly grumpy farmer giving one of the flock a hard time, he decides to give him an idea of what it's like to be a sheep. But when the time comes to have the old farmer back, things aren't quite so simple.",https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg
21,CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,clean,The kids accidentally destroy a beloved family photo.,,11 mins,661,7:35am 25 Jun 2020,The kids accidentally destroy a beloved family photo.,The kids accidentally destroy a beloved family photo and decide to make it up to Mom and Dad by hiring a photographer to take a new one.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg
