category,title,tags,age_rating,image,synopsis_small,cas1214
CBBC,The Next Step - Series 4: 18. Your Time Is Gonna Come,"BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.",0.79437
CBBC,Shaun the Sheep - Series 4: 6. The Smelly Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 4: 6. The Smelly Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p01rrbf9.jpg,"Shaun, Bitzer and the flock decide to give the farmer a wash.",0.79423
CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg,It's villain report card day at Odd Squad.,0.79365
CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",0.7923499999999999
CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,0.79173
CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg,The kids accidentally destroy a beloved family photo.,0.7890299999999999
CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg,Tom and Benny suffer from Gemma Raven's curse.,0.7046933333333333
CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01hzm5g.jpg,Tom and Jackson take the fight to the Nekross.,0.7032533333333333
