index;recommender_score;vader_polarity;vader_sentiment
46;0.8140809323107684;0.5106;Positive
207;0.3333333333333333;0.3365;Positive
64;0.3123547641315167;0.5574;Positive
157;0.3035608110059652;0.6369;Positive
203;0.3030276633682121;0.6369;Positive
56;0.2970362817191159;0.4404;Positive
77;0.292483030983444;0.5106;Positive
163;0.2917875937763292;0.5267;Positive
231;0.29174546234820325;0.5423;Positive
153;0.28240007646597487;0.296;Positive
