category;title;tags;age_rating;rating_description;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
Films;She Wore a Yellow Ribbon;BBC, iPlayer, TV, She Wore a Yellow Ribbon;PG;mild violence;A US cavalry officer suffers a setback on his last mission. Starring John Wayne.;https://ichef.bbci.co.uk/images/ic/1200x675/p08y06lt.jpg;99 mins;5959;1949;A US cavalry officer suffers a setback on his last mission. Starring John Wayne.;Western drama with John Wayne as a US cavalry officer on his last duty before retiring, escorting two women civilians to a stagecoach. The second in John Ford's cavalry trilogy.;In the second in John Ford's cavalry trilogy, a US cavalry officer suffers a setback on his last mission and is 'retired' before he can take further action. To avert a full-scale war, he decides to act alone.
Films;Man on the Moon;BBC, iPlayer, TV, Man on the Moon;15;contains strong language;Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.;https://ichef.bbci.co.uk/images/ic/1200x675/p05mwz8b.jpg;110 mins;6578;1999;Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.;Biopic of controversial comedian Andy Kaufman. Star of Taxi and Saturday Night Live, Kaufman's unorthodox humour was often misunderstood. With Jim Carrey and Courtney Love.;Biopic of controversial comedian Andy Kaufman, starring Jim Carrey. Star of Taxi and Saturday Night Live, Kaufman was a troubled individual for whom the boundaries of reality and stage performance were often blurred. Frequently misunderstood, even by those closest to him, he remained a strictly maverick entertainer until his untimely death from lung cancer in 1984.
Films;Shaun the Sheep: The Flight Before Christmas;BBC, iPlayer, TV, Shaun the Sheep: The Flight Before Christmas;U;rude humour;Its Christmas Eve at Mossy Bottom Farm, and Shaun has to rescue Timmy.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b8xzqd.jpg;30 mins;1799;2020;It's Christmas Eve at Mossy Bottom Farm, and Shaun has to rescue Timmy.;It's Christmas Eve at Mossy Bottom Farm, but the seasonal excitement turns to dismay when Timmy inadvertently heads off to a Christmas market in the back of the farmer's truck.;It's Christmas Eve at Mossy Bottom Farm, but Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings inadvertently leads to Timmy heading off to a Christmas market in the back of the farmer's truck. Shaun mounts a rescue mission to the local town.
Films;Tycoon;BBC, iPlayer, TV, Tycoon;U;mild violence;Romantic melodrama about an engineer battling to build a railroad and save his marriage.;https://ichef.bbci.co.uk/images/ic/1200x675/p09jg9fd.jpg;123 mins;7374;1947;Romantic melodrama about an engineer battling to build a railroad and save his marriage.;Romantic melodrama about an engineer, played by John Wayne, battling to build a railroad in the Andes while trying to save his marriage to the boss's daughter.;Romantic melodrama about an engineer battling to build a railroad in the Andes while trying to save his marriage to the boss's daughter. After wedding his bride against her father's wishes, he then jeopardises his marriage and the railroad enterprise by single-mindedly battling to get the extraordinary engineering project completed on time and within budget.
Films;Blackbeard the Pirate;BBC, iPlayer, TV, Blackbeard the Pirate;PG;contains moderate violence;Swashbuckling adventure set on the high seas in the 17th century. Starring Robert Newton.;https://ichef.bbci.co.uk/images/ic/1200x675/p08dtdhm.jpg;99 mins;5913;1952;Swashbuckling adventure set on the high seas in the 17th century. Starring Robert Newton.;Swashbuckler set on the high seas in the 17th century. Edward Maynard sets out to claim a fortune by posing as a surgeon on Blackbeard's ship.;Swashbuckling adventure set on the high seas in the 17th century, when the Spanish Main was plagued with piracy. The English monarch, enraged by the infamous buccaneer Blackbeard's interference with legitimate commerce, dispatches Sir Henry Morgan to confront the pirate and his crew of cut-throats. But having kidnapped Sir Henry's bride, Blackbeard now holds a worthwhile hostage.
Films;The Outlaw;BBC, iPlayer, TV, The Outlaw;U;contains mild western violence;Unconventional western about the life of legendary outlaw Billy the Kid.;https://ichef.bbci.co.uk/images/ic/1200x675/p09m5mdc.jpg;111 mins;6655;1943;Unconventional western about the life of legendary outlaw Billy the Kid.;Unconventional western about the life of outlaw Billy the Kid, including his partnership with Doc Holliday and clashes with lawman Pat Garrett. Stars Jane Russell and Jack Buetel.;No data found
Films;Effie Gray;BBC, iPlayer, TV, Effie Gray;12;moderate sex references;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;https://ichef.bbci.co.uk/images/ic/1200x675/p05m6cbx.jpg;99 mins;5933;2014;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;Drama based on a true story. When young Effie Gray becomes the wife of John Ruskin, it soon becomes apparent that Ruskin regards her as a muse rather than a wife.;When young Effie Gray becomes the wife of John Ruskin, one of the most distinguished writers and critics of the day, who has known her since her childhood, it soon becomes apparent that Ruskin regards her as a muse rather than a wife, and the stifling atmosphere of their home and Ruskin's overbearing wealthy parents soon take a toll on Effie's health. A trip back to Scotland for Ruskin to have his portrait painted by his protege John Everett Millais increases the distance between husband and wife, but the sympathy shown by Millais begins to offer her a release.
Films;The Curse of the Cat People;BBC, iPlayer, TV, The Curse of the Cat People;U;;Film sequel. A lonely young girl conjures up the spirit of her fathers first wife.;https://ichef.bbci.co.uk/images/ic/1200x675/p08xvff3.jpg;67 mins;4012;1944;Film sequel. A lonely young girl conjures up the spirit of her father's first wife.;A lonely young girl conjures up the spirit of Irena - her father's first wife, a woman who believed herself to be descended from a cat.;The follow-up to the seminal Cat People, this is the tale of a lonely young girl who conjures up the spirit of Irena - her father's first wife - to provide herself with a companion. But Irena believed herself to be descended from a race of cat people, and before long the fiendish feline is on the prowl again.
Films;Wallace and Gromit: A Close Shave;BBC, iPlayer, TV, Wallace and Gromit: A Close Shave;U;;While Wallace is distracted by a romance, Gromit is framed for sheep rustling.;https://ichef.bbci.co.uk/images/ic/1200x675/p05jw5dy.jpg;30 mins;1801;1995;While Wallace is distracted by a romance, Gromit is framed for sheep rustling.;Oscar-winning animated comedy thriller. While Wallace is distracted by a romance with the local wool shop owner, Gromit is framed for sheep rustling in a fiendish criminal plot.;Oscar-winning claymation comedy thriller from Nick Park, featuring the popular inventor and his dog. Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep rustling in a fiendish criminal plot, meeting a sheep named Shaun along the way. Will Wallace snap out of his daze in time to rescue his canine companion?
Films;Lucky Jim;BBC, iPlayer, TV, Lucky Jim;U;;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;https://ichef.bbci.co.uk/images/ic/1200x675/p091vq4y.jpg;91 mins;5489;1957;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;Comedy about a well-intentioned junior professor who hopes to impress the new university chancellor, but only succeeds in messing up everything he touches.;Comedy about a well-intentioned junior history professor in an undistinguished university. Hoping to impress the new chancellor, he succeeds only in messing up everything he touches. Based on the satirical novel by Kingsley Amis.
Films;Angel Face;BBC, iPlayer, TV, Angel Face;PG;mild references to violence;A family chauffeur becomes embroiled in the murderous schemes of his employer.;https://ichef.bbci.co.uk/images/ic/1200x675/p08dts9j.jpg;87 mins;5242;1952;A family chauffeur becomes embroiled in the murderous schemes of his employer.;Chilling drama about a family chauffeur (Robert Mitchum) who gets embroiled in the murderous schemes of his employer, a beautiful female psychopath (Jean Simmons).;No data found
Films;Run;BBC, iPlayer, TV, Run;15;illness theme, threat, violence, drug references;An after-dark joyride drives a small-town fish worker to risk everything.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b7k58r.jpg;72 mins;4291;10pm 11 Dec 2021;An after-dark joyride drives a small-town fish worker to risk everything.;In the northern Scottish town of Fraserburgh, young men dream of escapism through late-night drag races.;In the northern Scottish town of Fraserburgh, young men dream of escapism through late-night drag races. Finnie used to be one such lad, but now he works at the fish factory, and it's his son's turn to dream and race. Until one night when Finnie steals the boy's car for one last joyride. From BBC Films.
Films;Young Ahmed;BBC, iPlayer, TV, Young Ahmed;15;strong threat, discrimination;A Belgian teenager embraces an extremist interpretation of his faith.;https://ichef.bbci.co.uk/images/ic/1200x675/p09yddvj.jpg;79 mins;4723;2019;A Belgian teenager embraces an extremist interpretation of his faith.;Film drama. A Belgian teenager sets out to kill his school teacher after adopting an extremist interpretation of the Qur'an. In French and Arabic with English subtitles.;No data found
Films;Mystify: Michael Hutchence;BBC, iPlayer, TV, Mystify: Michael Hutchence;12;moderate sex references, depression;An intimate portrait of Michael Hutchence, lead singer of INXS.;https://ichef.bbci.co.uk/images/ic/1200x675/p07ycgpr.jpg;97 mins;5834;9:20pm 28 Dec 2019;An intimate portrait of Michael Hutchence, lead singer of INXS.;A journey into the heart and soul of Michael Hutchence, internationally renowned lead-singer of INXS.;A journey into the heart and soul of Michael Hutchence, internationally renowned lead-singer of INXS, a complex and shy man who spent the bulk of his life in the public eye, rarely revealing his true self to anyone except his very close friends. Rare archive footage and intimate insights from friends, lovers, family, colleagues and Michael Hutchence himself, portray his life from the beginning of his fractured family background to the peaks of rock stardom and down into the depths after a freak accident in Copenhagen removed his sense of taste and smell and seriously affected his ability to deal with his unravelling personal and professional life.A feature-length theatrical documentary written and directed by Richard Lowenstein, director of the majority of both INXS and Michael’s music videos and the 1986 feature film, Dogs in Space, in which Michael played the lead.
Films;The Thing from Another World;BBC, iPlayer, TV, The Thing from Another World;PG;mild violence, threat, injury detail;Scientists at a lonely Arctic outpost dig up an alien from the permafrost.;https://ichef.bbci.co.uk/images/ic/1200x675/p08xzmvb.jpg;83 mins;4977;1951;Scientists at a lonely Arctic outpost dig up an alien from the permafrost.;Scientists at a lonely Arctic outpost dig up an alien from the permafrost and face a desperate fight for their lives when it is accidentally thawed.;Scientists at a lonely Arctic outpost dig up an alien from the permafrost and face a desperate fight for their lives when it is accidentally thawed.
Films;Scottish Mussel;BBC, iPlayer, TV, Scottish Mussel;15;drug misuse;A Glaswegian chancer goes undercover at a Highland conservation centre.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bjmhnn.jpg;92 mins;5507;2015;A Glaswegian chancer goes undercover at a Highland conservation centre.;Ritchie is a Glaswegian chancer with low hopes and no prospects. Disillusioned with city life, he goes undercover at a Highland conservation centre to make his fortune.;Ritchie is a Glaswegian chancer with low hopes and no prospects. Disillusioned with city life, he goes undercover at a Highland conservation centre to make his fortune as an illegal pearl fisher with the help of his two hapless and accident-prone friends Danny and Fraser. However, his plan goes awry when he falls for a a pretty English conservationist who is passionate about saving endangered mussels from the clutches of pearl thieves.
Films;I, Tonya;BBC, iPlayer, TV, I, Tonya;15;very strong language, domestic abuse;Seeking figure-skating success, Tonya Harding (Margot Robbie) instead finds notoriety.;https://ichef.bbci.co.uk/images/ic/1200x675/p08r658w.jpg;111 mins;6660;2017;Seeking figure-skating success, Tonya Harding (Margot Robbie) instead finds notoriety.;Darkly comic recreation of a sporting scandal. Seeking figure-skating success, Tonya Harding instead finds notoriety.;Seeking figure-skating success, Tonya Harding instead finds notoriety in this darkly comic recreation of a sporting scandal. Featuring a multi-award-winning performance from Allison Janney.
